,BRAND,MODEL GROUP,"REFERENCE/
PART NO",Model,DESCRIPTION,UOM,Country of Origin,"Tariff 
code",Height (cm),Width (cm),Depth (cm),"Gross 
Weight (kg)",Net Weight (kg)
1,ECLER,Video Distribution Over IP,CWPTI1CG2,WPTICG2,H265Video Over IP Wall Plate Transmitter,Pcs,China,8517620000,21,12,8,TBC,TBC
1,ECLER,Loudspeakers,CZEN15GR,ZEN-15,"2way 5"" Outdoor above-ground mounting Loudspeaker - pebble shape, 60W @ 100V , IP65 Grey",Pcs,Spain,8518220000,35,37,50,6.6,4.05
1,ECLER,Loudspeakers,CZEN15SD,ZEN-15,"2way 5"" Outdoor above-ground mounting Loudspeaker - pebble shape, 60W @ 100V , IP65 Sand",Pcs,Spain,8518220000,35,37,50,6.6,4.05
