,Brand,PART NO,MODEL,,,Country of Origin,HTS Code,Packed Heigth,,Packed Length,,Packed Width,,"Gross
Weight
(kg)",MRP
,,,, DESCRIPTION,UOM,,,inch,cm,inch,cm,inch,cm,,AED
1,Crest Audio,TBA,PCX™ 1616,DSP-based Audio Matrix & Loudspeaker Management System – 32 In & 32 Out,PCS,China,8543.70.9650,6.9,17.526,21.1,53.594,13.3,33.782,6.1,9934
1,Crest Audio,TBA,PCX™ 1616 Dante® ,PCX™ 1616 Dante® Brooklyn Module,PCS,China,8543.70.9650,,0,,0,,0,,4507
1,Crest Audio,3616330,Tactus™.FOH,"Primary server for the Tactus mixing system,8 In / 8 Out SoundGrid FOH Box & Server",PCS,China,8471.50.0150,10.2,25.908,22,55.88,18.6,47.244,11.8,24752
1,Crest Audio,3612030,Tactus™.Stage,32 In / 16 Out SoundGrid Stage Box,PCS,China,8543.70.9650,11.9,30.226,21.2,53.848,15.5,39.37,10.4,14901
1,Crest Audio,3615110,Tactus™.Control,Advanced Control mixing  Surface with Motorized 16 Faders,PCS,China,8537.10.9090,7,17.78,28,71.12,16,40.64,6.8,9759
1,Crest Audio,3617890,Versarray™ 112 MK III,12? Two-Way Passive Ribbon Line Array Module,PCS,China,8518.22.0000,19.5,49.53,31,78.74,20,50.8,33.2,9934
1,Crest Audio,3617910,Versarray™ 218 MK III Sub,2 x 18? Passive Subwoofer,PCS,China,8518.22.0000,30,76.2,48.5,123.19,31,78.74,95,10762
1,Crest Audio,4002450,CPL™ 5C+ Black,"5"" 2-way Coaxial Speaker 100W @ 16 Ohms- Black",PCS,China,8518.22.0000,9.844,25.00376,9.37,23.7998,9.37,23.7998,3.65,2300
1,Crest Audio,4002720,CPL™ 5C+ - White,"5"" 2-way Coaxial Speaker 100W @ 16 Ohms- White",PCS,China,8518.22.0000,9.844,25.00376,9.37,23.7998,9.37,23.7998,3.65,2300
1,Crest Audio,4002460,CPL™ 25C+  Black,"Dual 5"" 2-way Coaxial Passive Speaker, 200W @ 8 Ohms- Black",PCS,China,8518.22.0000,18.7,47.498,11.024,28.00096,11.416,28.99664,10.88,3495
1,Crest Audio,4002730,CPL™ 25C+ - White,"Dual 5"" 2-way Coaxial Passive Speaker, 200W @ 8 Ohms-White",PCS,China,8518.22.0000,18.7,47.498,11.024,28.00096,11.416,28.99664,10.88,3495
1,Crest Audio,4002490,CPL™ 4L+ - Black,"Passive Column Array Speaker,  Four 3” full-range Neodymium speakers, 0.75“ voice coil • Continuous power handling: 120 Watts @ 8 Ohms - Black",PCS,China,8518.22.0000,19.88,50.4952,7.48,18.9992,7.48,18.9992,4.3,1702
1,Crest Audio,4002760,CPL™ 4L+ - White,"Passive Column Array Speaker,  Four 3” full-range Neodymium speakers, 0.75“ voice coil • Continuous power handling: 120 Watts @ 8 Ohms - White",PCS,China,8518.22.0000,19.88,50.4952,7.48,18.9992,7.48,18.9992,4.3,1702
1,Crest Audio,4002500,CPL™ 8L+  Black,"Passive Column Array Speaker, Eight 3” full-range Neodymium speakers, 0.75“ voice coil • Continuous power handling: 240 Watts @ 4ohms - Black",PCS,China,8518.22.0000,36.81,93.4974,7.48,18.9992,7.48,18.9992,5.74,2851
1,Crest Audio,4002770,CPL™ 8L+ - Column Array - White,"Passive Column Array Speaker, Eight 3” full-range Neodymium speakers, 0.75“ voice coil • Continuous power handling: 240 Watts @ 4ohms - White",PCS,China,8518.22.0000,36.81,93.4974,7.48,18.9992,7.48,18.9992,5.74,2851
1,Crest Audio,4002370,CPL™ 6+ - Black,"2-way Passive Speaker,. 6.5” woofer, 1.2“ voice coil 75W @ 16Ohm - Black",PCS,China,8518.22.0000,15.55,39.497,11.81,29.9974,11.417,28.99918,6.55,1426
1,Crest Audio,4002640,CPL™ 6+ - White,"2-way Passive Speaker,. 6.5” woofer, 1.2“ voice coil 75W @ 16Ohm - White",PCS,China,8518.22.0000,15.55,39.497,11.81,29.9974,11.417,28.99918,6.55,1426
1,Crest Audio,4002420,CPL™ 26+  - Black,"2-way Passive Speaker,2x 6.5” woofer, 1.2“ voice coil 150W @ 8Ohm -Black",PCS,China,8518.22.0000,26.18,66.4972,12.204,30.99816,11.81,29.9974,12.94,2300
1,Crest Audio,4002690,CPL™ 26+ - White,"2-way Passive Speaker,2x 6.5” woofer, 1.2“ voice coil 150W @ 8Ohm -White",PCS,China,8518.22.0000,26.18,66.4972,12.204,30.99816,11.81,29.9974,12.94,2300
1,Crest Audio,4002380,CPL™ 8+r - Black,"2-way Passive Speaker,8” woofer, 1.3“ voice coil 200W @ 8Ohm -Black",PCS,China,8518.22.0000,19.685,49.9999,13.5827,34.500058,13.189,33.50006,12.05,2162
1,Crest Audio,4002650,CPL™ 8+- White,"2-way Passive Speaker,8” woofer, 1.3“ voice coil 200W @ 8Ohm -Black",PCS,China,8518.22.0000,19.685,49.9999,13.5827,34.500058,13.189,33.50006,12.05,2162
1,Crest Audio,4002390,CPL™ 10+  - Black,"2-way Passive Speaker,10” woofer, 2.5“ voice coil 300W @ 8Ohm -Black",PCS,China,8518.22.0000,24.0157,60.999878,15.5512,39.500048,16.1417,40.999918,17.8,2943
1,Crest Audio,4002660,CPL™ 10+ - White,"2-way Passive Speaker,10” woofer, 2.5“ voice coil 300W @ 8Ohm -White",PCS,China,8518.22.0000,24.0157,60.999878,15.5512,39.500048,16.1417,40.999918,17.8,2943
1,Crest Audio,4002400,CPL™ 12+- Black,"2-way Passive Speaker,12” woofer, 3“ voice coil  350W @ 8Ohm -Black",PCS,China,8518.22.0000,26.9685,68.49999,18.1102,45.999908,17.3228,43.999912,23.85,3403
1,Crest Audio,4002670,CPL™ 12+ - White,"2-way Passive Speaker,12” woofer, 3“ voice coil  350W @ 8Ohm -White",PCS,China,8518.22.0000,26.9685,68.49999,18.1102,45.999908,17.3228,43.999912,23.85,3403
1,Crest Audio,4002410,CPL™ 15+ -Black,"2-way Passive Speaker,115” woofer, 3“ voice coil  500W @ 8Ohm Black",PCS,China,8518.22.0000,31.8898,81.000092,21.8504,55.500016,20.6693,52.500022,32.25,4231
1,Crest Audio,4002680,CPL™ 15+ - White,"2-way Passive Speaker,115” woofer, 3“ voice coil  500W @ 8Ohm White",PCS,China,8518.22.0000,31.8898,81.000092,21.8504,55.500016,20.6693,52.500022,32.25,4231
1,Crest Audio,4002470,CPL™ 12CM+ - Black," 2-way Coaxial Stage Monitor, 12” woofer, 3“ voice coil, 400W @ 8ohms - Black",PCS,China,8518.22.0000,16.3386,41.500044,22.4409,56.999886,23.8189,60.500006,26.7,6439
1,Crest Audio,4002740,CPL™ 12CM+ - White," 2-way Coaxial Stage Monitor, 12” woofer, 3“ voice coil, 400W @ 8ohms - White",PCS,China,8518.22.0000,16.3386,41.500044,22.4409,56.999886,23.8189,60.500006,26.7,6439
1,Crest Audio,4002480,CPL™ 15CM+ - Black," 2-way Coaxial Stage Monitor,15” Neodymium woofer, 3“ voice coil 500W @ 8ohms - Black",PCS,China,8518.22.0000,16.3386,41.500044,25.3937,64.499998,25.78743,65.5000722,21.54,8002
1,Crest Audio,4002750,CPL™ 15CM+ - White," 2-way Coaxial Stage Monitor,15” Neodymium woofer, 3“ voice coil 500W @ 8ohms - White",PCS,China,8518.22.0000,16.3386,41.500044,25.3937,64.499998,25.7874,65.499996,21.54,8002
1,Crest Audio,4002430,CPL™ 15B+," 15"" Subwoofer - Black",PCS,China,8518.22.0000,30.315,77.0001,22.8346,57.999884,21.2598,53.999892,42.3,3403
1,Crest Audio,4002700,CPL™ 15B+," 15"" Subwoofer - White",PCS,China,8518.22.0000,30.315,77.0001,22.8346,57.999884,21.2598,53.999892,42.3,3403
1,Crest Audio,4002440,CPL™ 265B+ ,"Passive Subwoofer 2x6.5"" woofer,  100W @ 4ohms , Black",PCS,China,8518.22.0000,12.2047,30.999938,21.4567,54.500018,14.5669,36.999926,13.82,2575
1,Crest Audio,4002710,CPL™ 265B+,"Passive Subwoofer 2x6.5"" woofer,  100W @ 4ohms , White",PCS,China,8518.22.0000,12.2047,30.999938,21.4567,54.500018,14.5669,36.999926,13.82,2575
1,Crest Audio,4001600,CPL™ 4T ,"4? Full-Range Ceiling Speaker 40 Watts@  8 ?  15W,@ 100/70V",PCS,China,8518.21.0000,8.7,22.098,13.2,33.528,13.2,33.528,2.4,0
1,Crest Audio,4001610,CPL™ 6T,"6.5? Full-Range Ceiling Speaker  50Watts@  8 ?  15W,@ 100/70V  15W,@ 100/70V",PCS,China,8518.21.0000,9.8,24.892,13.2,33.528,13.2,33.528,3.1,0
1,Crest Audio,4001620,CPL™ 8T ,8? Full-Range Ceiling Speaker90W @ 8ohm,PCS,China,8518.21.0000,10.6,26.924,13.2,33.528,13.2,33.528,3.7,0
1,Crest Audio,3617310,Versarray™ Pro 112,12? Two-Way Powered Ribbon Line Array Module,PCS,China,8518.22.0000,19.5,49.53,31,78.74,20,50.8,35.2,17016
1,Crest Audio,3617340,Versarray™ Pro 215 Sub,2 x 15? Powered Subwoofer,PCS,China,8518.22.0000,26.5,67.31,38.2,97.028,30.2,76.708,80,17016
1,Crest Audio,3617680,Versarray™ Pro 218 Sub,2 x 18? Powered Subwoofer,PCS,China,8518.22.0000,30.3,76.962,49.2,124.968,31.4,79.756,99,17016
1,Crest Audio,3617370,Versarray™ MK III Halo,"Halo frame for Versarray Pro 112, Pro 215 Sub & Versarray 112 Mk III",PCS,China,8518.90.8000,14.3,36.322,29,73.66,25,63.5,31.8,7078
1,Crest Audio,3617570,"Versarray™ MK III Fly Bar, 6 ft Length",Fly Bar 6 ft for 2 x Versarray Mk III Halo,PCS,China,8518.90.8000,2.4,6.096,72.8,184.912,4,10.16,28.5,2988
1,Crest Audio,3618490,"Versarray™ MK III Fly Bar, 2 ft Length",Fly Bar 2 ft for 2 x Versarray Mk III Halo,PCS,China,8518.90.8000,4.1,10.414,32.6,82.804,5,12.7,11,1494
1,Crest Audio,3617580,Versarray™ MK III Sub Support Frame,Sub Support Frame for Versarray Pro 215 Subwoofers,PCS,China,8518.90.8000,12.2,30.988,29,73.66,25,63.5,23.8,5795
1,Crest Audio,3618010,Versarray™ Pro 112 Cart,Transport Cart for Versarray Pro 112 & Versarray 112 Mk III,PCS,China,,7.3,18.542,37.4,94.996,31,78.74,30.8,3311
1,Crest Audio,4002510,CPL-PM-C-BK - ,Pole Mount Adapter for CPL™ 4L+ / CPL™ 8L+ (Black),PCS,China,8302.50.0000,6.88976,17.4999904,5.31496,13.4999984,3.14961,8.0000094,1,368
1,Crest Audio,4002520,CPL-WM-C-BK ,Wall Mount Adapter for CPL™ 4L+ / CPL™ 8L+ (Black),PCS,China,8302.50.0000,4.64567,11.8000018,7.08661,17.9999894,4.13386,10.5000044,1.62,267
1,Crest Audio,4002780,CPL-WM-C-WH ,Wall Mount Adapter for CPL™ 4L+ / CPL™ 8L+ (White),PCS,China,8302.50.0000,4.64567,11.8000018,7.08661,17.9999894,4.13386,10.5000044,1.62,267
1,Crest Audio,4002600,CPL-UB-5C-BK ,U-Bracket for CPL™ 5C+ (Black),PCS,China,8302.50.0000,11.6535,29.59989,5.74803,14.5999962,2.75591,7.0000114,1.38,368
1,Crest Audio,4002850,CPL-UB-5C-WH , U-Bracket for CPL™ 5C+ (White),PCS,China,8302.50.0000,11.6535,29.59989,5.74803,14.5999962,2.75591,7.0000114,1.38,368
1,Crest Audio,4002530,CPL-UB-6-BK ,U-Bracket for CPL™ 6+ (Black),PCS,China,8302.50.0000,11.6535,29.59989,5.74803,14.5999962,2.75591,7.0000114,1.38,432
1,Crest Audio,4002790,CPL-UB-6-WH ,U-Bracket for CPL™ 6+ (White),PCS,China,8302.50.0000,11.6535,29.59989,5.74803,14.5999962,2.75591,7.0000114,1.38,432
1,Crest Audio,4002540,CPL-UB-8-BK ,U-Bracket for CPL™ 8+ (Black),PCS,China,8302.50.0000,8.66142,22.0000068,17.5197,44.500038,2.75591,7.0000114,1.7,460
1,Crest Audio,4002800,CPL-UB-8-WH ,U-Bracket for CPL™ 8+ (White),PCS,China,8302.50.0000,8.66142,22.0000068,17.5197,44.500038,2.75591,7.0000114,1.7,460
1,Crest Audio,4002550,CPL-UB-10-BK , U-Bracket for CPL™ 10+ (Black),PCS,China,8302.50.0000,11.4173,28.999942,21.8504,55.500016,2.75591,7.0000114,2.2,533
1,Crest Audio,4002810,CPL-UB-10-WH ,U-Bracket for CPL™ 10+ (White),PCS,China,8302.50.0000,11.4173,28.999942,21.8504,55.500016,2.75591,7.0000114,2.2,533
1,Crest Audio,4002560,CPL-UB-12-BK ,U-Bracket for CPL™ 12+ (Black),PCS,China,8302.50.0000,12.2047,30.999938,24.8031,62.999874,2.75591,7.0000114,2.48,570
1,Crest Audio,4002820,CPL-UB-12-WH ,U-Bracket for CPL™ 12+ (White),PCS,China,8302.50.0000,12.2047,30.999938,24.8031,62.999874,2.75591,7.0000114,2.48,570
1,Crest Audio,4002570,CPL-UB-15-BK , U-Bracket for CPL™ 15+ (Black),PCS,China,8302.50.0000,13.3858,33.999932,28.5433,72.499982,2.75591,7.0000114,2.48,579
1,Crest Audio,4002830,CPL-UB-15-WH ,U-Bracket for CPL™ 15+ (White),PCS,China,8302.50.0000,13.3858,33.999932,28.5433,72.499982,2.75591,7.0000114,2.48,579
1,Crest Audio,4002610,CPL-UB-25C-BK ,U-Bracket for CPL™ 25C+ (Black),PCS,China,8302.50.0000,7.87402,20.0000108,24.2126,61.500004,2.75591,7.0000114,2.04,552
1,Crest Audio,4002860,CPL-UB-25C-WH ,U-Bracket for CPL™ 25C+ (White),PCS,China,8302.50.0000,7.87402,20.0000108,24.2126,61.500004,2.75591,7.0000114,2.04,552
1,Crest Audio,4002580,CPL-UB-26-BK , U-Bracket for CPL™ 26+ (Black),PCS,China,8302.50.0000,7.87402,20.0000108,24.2126,61.500004,2.75591,7.0000114,2.04,570
1,Crest Audio,4002840,CPL-UB-26-WH ,U-Bracket for CPL™ 26+ (White),PCS,China,8302.50.0000,7.87402,20.0000108,24.2126,61.500004,2.75591,7.0000114,2.04,570
1,Crest Audio,4002620,CPL-UB-265B-BK ,U-Bracket for CPL™ 265B+ (Black),PCS,China,8302.50.0000,7.87402,20.0000108,24.2126,61.500004,2.75591,7.0000114,2.04,570
1,Crest Audio,4002870,CPL-UB-265B-WH ,U-Bracket for CPL™ 265B+ (White),PCS,China,8302.50.0000,7.87402,20.0000108,24.2126,61.500004,2.75591,7.0000114,2.04,570
1,Crest Audio,4002590,CPL-PM-S-BK , Pole Mount Adapter for CPL™ 6+ / 25C+ / 26+ / 8+ / 10+ (Black),PCS,China,8302.50.0000,5.31496,13.4999984,6.29921,15.9999934,2.95276,7.5000104,0.74,368
1,Crest Audio,4002630,CPL-PM-L-BK ,Pole Mount Adapter for CPL™ 12+ / 15C+ (Black),PCS,China,8302.50.0000,5.31496,13.4999984,6.29921,15.9999934,2.95276,7.5000104,0.86,368
1,Crest Audio,3616292,UA™ 2050,"2 Channel 50 Watts Utility Amplifier – Constant Voltage 70V, 100V & Low-Z",PCS,China,8518.40.0090,7.9,20.066,16,40.64,13.7,34.798,5.8,1614
1,Crest Audio,3616032,UMA™ 4300," Channel 300 Watts Mixer Amplifier – Constant Voltage 25V, 70V, 100V & Low-Z",PCS,China,8518.40.0090,6.3,16.002,22.3,56.642,17.5,44.45,9.5,3449
1,Crest Audio,3616262,IPA™ 2300,"2 Channel Mixer Amplifier – Constant Voltage 25V, 70V, 100V & Low-Z",PCS,China,8518.40.0090,6.3,16.002,22.3,56.642,17.5,44.45,9.4,2989
1,Crest Audio,3621150,Stage™ 2x2D,Direct Injection Network Audio Interface,PCS,China,8543.70.9100,2.244,5.69976,6.3,16.002,8.07,20.4978,0.9,2851
