,Brand,"PART NO
",Model,Description,UOM,Country of,HTS Code,Packed Heigth,,Packed Length,,Packed Width,,"Gross
Weight
(kg)",MRP,MRP
,,,,,UOM,Origin,,inch,cm,inch,cm,inch,cm,,QAR,AED
1,MediaMatrix - Peavey,03620270,sTouch™ 7,Wall Mount 7? Touch-Screen Control Panel,Pcs,USA,8471.50.0150,9,22.86,12,30.48,8,20.32,1.8,"13,816.00","13,797.00"
1,MediaMatrix - Peavey,03620580,sTouch™ 7 - In-Wall Panel Mount Kit WK-01,sTouch™ 7 - In-Wall Panel Mount Kit WK-01,Pcs,USA,8471.49.0000,3.1,7.87,18.5,46.99,4.3,10.92,0.5,663,662
1,MediaMatrix - Peavey,03620590,sTouch™ 7 - Rack Mount Kit RK-01,sTouch™ 7 - Rack Mount Kit RK-01,Pcs,USA,8471.49.0000,0.8,2.03,20,50.8,16,40.64,5.1,939,938
1,MediaMatrix - Peavey,03620600,sTouch™ 7 - Desk Stand C-07,sTouch™ 7 - Desk Stand C-07,Pcs,USA,8471.49.0000,9.1,23.11,13.4,34.04,13,33.02,5.1,"1,068.00","1,067.00"
1,MediaMatrix - Peavey,03620610,sTouch™ 7 - Desk Stand V-07 (fixed),sTouch™ 7 - Desk Stand V-07 (fixed),Pcs,USA,8471.49.0000,10.2,25.91,17.7,44.96,14.2,36.07,6.2,755,754
1,MediaMatrix - Peavey,03620410,sControl™,Network Control Processor,Pcs,USA,8471.50.0150,4.33,11,14.173,36,10.629,27,3,"26,527.00","26,490.00"
1,MediaMatrix - Peavey,03620420,sControl™ Nano,Ultra Small Network Control Processor,Pcs,USA,8471.50.0150,,0,,0,,0,,"7,461.00","7,450.00"
1,MediaMatrix - Peavey,03619760,nCIE PILOT™,EN54-16 Certified Control and Monitoring Server for Life Safety Systems,Pcs,USA,8471.50.0150,4.33,11,14.173,36,10.629,27,3,"31,500.00","31,457.00"
1,MediaMatrix - Peavey,03619780,nCIE PILOT™ Perpetual License,nCIE PILOT® Perpetual License,Pcs,USA,,,0,,0,,0,,"9,211.00","9,198.00"
1,MediaMatrix - Peavey,03619770,Rack Mount for  nCIE PILOT™ / sCONTROL™,Rack Mount for  nCIE PILOT™ / sCONTROL™,Pcs,USA,8473.30.5100,6,15.24,23,58.42,15,38.1,3.18,"1,336.00","1,334.00"
1,MediaMatrix - Peavey,30909332,Universal Power Adapter for nCIE PILOT™ / sCONTROL™,Universal Power Adapter for nCIE PILOT™ / sCONTROL™,Pcs,USA,8504.40.9510,,0,,0,,0,,274,274
1,MediaMatrix - Peavey,00510400,Digitool® D4S™,4-Button Wall Controller for Digitool matrix,Pcs,China,8543.70.9650,2.9,7.37,9.8,24.89,6.9,17.53,0.3,608,607
1,MediaMatrix - Peavey,00510410,Digitool® D1V™,Rotary Encoder Wall Controller,Pcs,China,8543.70.9650,2.9,7.37,9.8,24.89,6.9,17.53,0.3,608,607
1,MediaMatrix - Peavey,00510424,**Digitool® PS,Power supply,Pcs,China,8543.70.9960,3,7.62,9.8,24.89,7,17.78,0.8,184,184
1,MediaMatrix - Peavey,00510490,**GPIO-25 Breakout Panel,GPIO-25 Breakout Panel,Pcs,USA,8544.42.9090,,0,,0,,0,0.9,912,911
1,MediaMatrix - Peavey,03620620,sPower™ 754,"4 channel Smart Power Amplifier – Constant Voltage, 75 Watts per channel 70V / 100V",Pcs,TW,8518.40.2000,,0,,0,,0,,"14,967.00","14,947.00"
1,MediaMatrix - Peavey,03620630,sPower™ 758,"8 channel Smart Power Amplifier – Constant Voltage, 75 Watts per channel 70V / 100V",Pcs,TW,8518.40.2000,,0,,0,,0,,"23,607.00","23,574.00"
1,MediaMatrix - Peavey,03620650,sPower™ 1504,"4 channel Smart Power Amplifier – Constant Voltage, 150 Watts per channel 70V / 100V",Pcs,TW,8518.40.2000,,0,,0,,0,,"16,699.00","16,676.00"
1,MediaMatrix - Peavey,03620660,sPower™ 1508,"8 channel Smart Power Amplifier – Constant Voltage, 150 Watts per channel 70V / 100V",Pcs,TW,8518.40.2000,,0,,0,,0,,"25,909.00","25,874.00"
1,MediaMatrix - Peavey,03620680,sPower™ 3004,"4 channel Smart Power Amplifier – Constant Voltage, 300 Watts per channel 70V / 100V",Pcs,TW,8518.40.2000,,0,,0,,0,,"19,001.00","18,975.00"
1,MediaMatrix - Peavey,03620690,sPower™ 3008,"8 channel Smart Power Amplifier – Constant Voltage, 300 Watts per channel 70V / 100V",Pcs,TW,8518.40.2000,,0,,0,,0,,"28,783.00","28,744.00"
1,MediaMatrix - Peavey,03621260,sPower™ 6004,"4 channel Smart Power Amplifier – Constant Voltage, 600 Watts per channel 70V / 100V",Pcs,TW,8518.40.2000,,0,,0,,0,,"22,455.00","22,425.00"
