,BRAND,MODEL GROUP,"REFERENCE/
PART NO",Model,DESCRIPTION,UOM,Country of Origin,"Tariff 
code",Height (cm),Width (cm),Depth (cm),"Gross 
Weight (kg)",Net Weight (kg)
1,ECLER VIDEO,Audio Management Devices,CVEOAEXS4,VEO-AEXS4,HDMI 2.0 Audio De-Embedder ,Pcs,China,8517620000,21,6,15,0.4,0.14
1,ECLER VIDEO,Audio Management Devices,CVEOAXS4,VEO-AXS4,HDMI 2.0 Audio Extractor 18Gbps,Pcs,China,8517620000,6,15,21,0.5,0.18
1,ECLER VIDEO,Audio Management Devices,CVEOAXS4P,VEO-AXS4P,HDMI 2.0 Audio Extractor Pro,Pcs,China,8517620000,6.5,19.5,14.5,0.6,0.25
1,ECLER VIDEO,AV Interfaces,CVEOCAP4U,VEO-CAP4U,Professional USB video capture,Pcs,China,8517620000,3.5,16.5,13,1,0.75
1,ECLER VIDEO,Accessories,CVEOCH200,VEO-CH200,Premium High Speed HDMI®2.0 Cable with Ethernet 0.5m,Pcs,China,8517620000,5,23,27,0.7,0.6
1,ECLER VIDEO,Accessories,CVEOCH201,VEO-CH201,Premium High Speed HDMI®2.0 Cable with Ethernet 1m,Pcs,China,8544200000,2,18,18,0.1,0.1
1,ECLER VIDEO,Accessories,CVEOCH202,VEO-CH202,Premium High Speed HDMI®2.0 Cable with Ethernet 2m,Pcs,China,8544200000,3,18,18,0.17,0.17
1,ECLER VIDEO,Accessories,CVEOCH203,VEO-CH203,Premium High Speed HDMI®2.0 Cable with Ethernet 3m,Pcs,China,8544200000,3,18,18,0.17,0.17
1,ECLER VIDEO,Accessories,CVEOCH205,VEO-CH205,Premium High Speed HDMI®2.0 Cable with Ethernet 5m,Pcs,China,8544200000,4.5,18,18,0.4,0.4
1,ECLER VIDEO,Accessories,CVEOCH208,VEO-CH208,Premium High Speed HDMI®2.0 Cable with Ethernet 8m,Pcs,China,8544200000,4.5,18,18,0.4,0.4
1,ECLER VIDEO,Accessories,CVEOCH210,VEO-CH210,Premium High Speed HDMI®2.0 Cable with Ethernet 10m,Pcs,China,8544200000,5,23,27,0.7,0.6
1,ECLER VIDEO,Audio Management Devices,CVEODACS4,VEO-DACS4,DAC Converter And ARC Extractor,Pcs,China,8517620000,21,6,15,0.4,0.16
1,ECLER VIDEO,Matrixes,CVEOMXH44,VEO-MXH44,4x4 HDMI 2.0 Matrix swictehr ,Pcs,China,8517620000,6,25.5,20,1.1,1
1,ECLER VIDEO,Matrixes,CVEOMXH44D,VEO-MXH44D,HDMI® 4x4 18Gbps Matrix with Audio De-Embedders and Display,Pcs,China,8517620000,8.5,31,26.4,1.4,1.39
1,ECLER VIDEO,Matrixes,CVEOMXH48T,VEO-MXH48T,"4K HDBaseT | HDMI® 8x8 Matrix, * HDMI in , 8HDMI Out nm=mirrored with 8HDBaseT out",Pcs,China,8517620000,8.5,50,26.4,3.7,2.9
1,ECLER VIDEO,Matrixes,CVEOMXH88D,VEO-MXH88D,HDMI® 8x8 18Gbps Matrix with Audio De-Embedders and Display,Pcs,China,8517620000,8.5,50,26.4,3.7,2.9
1,ECLER VIDEO,Accessories,CVEORACK19,VEO-RACK19,Univ. 19” Rack mount shelf VEO series,Pcs,Spain,8302500000,13,55,50,4.5,2.6
1,ECLER VIDEO,Accessories,CVEORK1CG2,VEORK1CG2,Rack mount shelf for VEO-1CG2 series,Pcs,China,8302500000,14,49,2,4.5,2.6
1,ECLER VIDEO,Video Distribution Over IP,CVEOSPH42,VEO-SPH42,HDMI 2.0 Splitter 1x2 18Gbps,Pcs,China,8517620000,6,15,21,0.4,0.12
1,ECLER VIDEO,Splitters,CVEOSPH44,VEO-SPH44,HDMI 2.0 Splitter 1x4 18Gbps,Pcs,China,8517620000,6,22,19,0.6,0.25
1,ECLER VIDEO,Splitters,CVEOSPH48,VEO-SPH48,HDMI 2.0 Splitter 1x8 18Gbps,Pcs,China,8517620000,5,28,20,1,0.61
1,ECLER VIDEO,Video Distribution Over IP,CVEOSPS42,VEO-SPS42,VEO-SPS42 4K 18Gbps HDMI to HDBaseT -1x2 Splitter,Pcs,China,8517620000,8,29,22,0,0.25
1,ECLER VIDEO,Splitters,CVEOSPS44,VEO-SPS44,VEO-SPS44 4K 18Gbps HDMI to HDBaseT  1x4 Splitter,Pcs,China,8517620000,9.2,31.6,31,0,0.25
1,ECLER VIDEO,Splitters,CVEOSPS48,VEO-SPS48,VEO-SPS48 4K 18Gbps HDMI to HDBaseT 1x8 Splitter,Pcs,China,8517620000,9,41,41,0,0.25
1,ECLER VIDEO,Switchers,CVEOSWC44,VEO-SWC44,4K Wireless Conferencing and rpesentationSwitcher,Pcs,China,8517620000,7.7,34,20.8,1.25,0.7
1,ECLER VIDEO,Switchers,CVEOSWC44TH,VEO-SWC44TH,HDMI Dongle for VEO-SWC44,Pcs,China,8517620000,3.4,23.2,9.5,0.15,0.1
