Brand ,"REFERENCE/
PART NO",Model,Description EN,UOM,MRP QAR,MRP AED
GARVAN,HM001F,HM001F,Concrete ceiling bracket finish white,Pcs,1224,1209
GARVAN,HM001H,HM001H,Concrete ceiling bracket finish black,Pcs,1224,1209
GARVAN,VN1507T,VN1507T,Multipolar transparent hanging cable lenght 150cm,Pcs,218,215
GARVAN,VN2507T,VN2507T,Multipolar transparent hanging cable lenght 250cm,Pcs,358,354
GARVAN,VN3507T,VN3507T,Multipolar transparent hanging cable lenght 350cm,Pcs,498,492
GARVAN,SN120V,SN120V,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt green,Pcs,3150,3112
GARVAN,SN120Y,SN120Y,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt grey,Pcs,3150,3112
GARVAN,SN120A,SN120A,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt charcoal grey,Pcs,3150,3112
GARVAN,SN120B,SN120B,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt white,Pcs,3150,3112
GARVAN,SN120Z,SN120Z,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt Corten effect,Pcs,3467,3425
GARVAN,SN120V-W,SN120V-W,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt green with white led,Pcs,3811,3765
GARVAN,SN120Y-W,SN120Y-W,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt grey with white led,Pcs,3811,3765
GARVAN,SN120A-W,SN120A-W,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt charcoal grey with white LED light,Pcs,3811,3765
GARVAN,SN120B-W,SN120B-W,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt white with white led,Pcs,3811,3765
GARVAN,SN120Z-W,SN120Z-W,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt Corten effect with white l,Pcs,4110,4061
GARVAN,SN120V-R,SN120V-R,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt green with RGB led,Pcs,3961,3913
GARVAN,SN120Y-R,SN120Y-R,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt grey with RGB led,Pcs,3961,3913
GARVAN,SN120A-R,SN120A-R,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt charcoal grey with RGB LED light,Pcs,3961,3913
GARVAN,SN120B-R,SN120B-R,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt white with RGB led,Pcs,3961,3913
GARVAN,SN120Z-R,SN120Z-R,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt Corten effect with RGB led,Pcs,4260,4209
GARVAN,SN120EA,SN120EA,Outdoor omnidirectional loudspeaker in Concrete diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt,Pcs,6943,6859
GARVAN,SN120EA-W,SN120EA-W,Outdoor omnidirectional loudspeaker in Concrete diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt with White LED,Pcs,7604,7513
GARVAN,SN120EA-R,SN120EA-R,Outdoor omnidirectional loudspeaker in Concrete diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt with rgb LED,Pcs,7749,7656
GARVAN,SN220V,SN220V,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm 2-ways 4? 200Wrms 94dB/1mt green ,Pcs,5171,5108
GARVAN,SN220Y,SN220Y,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm 2-ways 4? 200Wrms 94dB/1mt grey,Pcs,5171,5108
GARVAN,SN220A,SN220A,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm 2-ways 4? 200Wrms 94dB/1mt charcoal grey,Pcs,5171,5108
GARVAN,SN220B,SN220B,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm 2-ways 4? 200Wrms 94dB/1mt white,Pcs,5171,5108
GARVAN,SN220Z,SN220Z,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm 2-ways 4? 200Wrms 94dB/1mt Corten effect,Pcs,5488,5422
GARVAN,SN220EA,SN220EA,Outdoor omnidirectional loudspeaker in Concrete diam.260xh625mm | 1x200mm 2-Ways 4? 200Wrms 94dB/1mt,Pcs,8783,8677
GARVAN,SN220V-W,SN220V-W,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm 2-Ways 4? 200Wrms 94dB/1mt green with white led,Pcs,5832,5762
GARVAN,SN220Y-W,SN220Y-W,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm 2-Ways 4? 200Wrms 94dB/1mt grey with white led,Pcs,5832,5762
GARVAN,SN220A-W,SN220A-W,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm 2-Ways 4? 200Wrms 94dB/1mt charcoal grey with white led,Pcs,5832,5762
GARVAN,SN220B-W,SN220B-W,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm 2-Ways 4? 200Wrms 94dB/1mt white with white led,Pcs,5832,5762
GARVAN,SN220Z-W,SN220Z-W,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm 2-Ways 4? 200Wrms 94dB/1mt Corten effect with white led,Pcs,6150,6076
GARVAN,SN220EA-W,SN220EA-W,Outdoor omnidirectional loudspeaker in Concrete diam.260xh625mm | 1x200mm 2-Ways 4? 200Wrms 94dB/1mt with White LED,Pcs,9444,9330
GARVAN,SN220V-R,SN220V-R,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm 2-Ways 4? 200Wrms 94dB/1mt green with RGB led,Pcs,5977,5905
GARVAN,SN220Y-R,SN220Y-R,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm 2-Ways 4? 200Wrms 94dB/1mt grey with RGB led,Pcs,5977,5905
GARVAN,SN220A-R,SN220A-R,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm 2-Ways 4? 200Wrms 94dB/1mt  charcoal grey with RGB led,Pcs,5977,5905
GARVAN,SN220B-R,SN220B-R,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm 2-Ways 4? 200Wrms 94dB/1mt white with RGB led,Pcs,5977,5905
GARVAN,SN220Z-R,SN220Z-R,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm 2-Ways 4? 200Wrms 94dB/1mt Corten effect with RGB led,Pcs,6295,6219
GARVAN,SN220EA-R,SN220EA-R,Outdoor omnidirectional loudspeaker in Concrete diam.260xh625mm | 1x200mm 2-Ways 4? 200Wrms 94dB/1mt with RGB led,Pcs,9589,9474
GARVAN,WN120V,WN120V,Outdoor omnidirectional subwoofer in PE diam.260xh625mm | 1x200mm 4? 200Wrms 91dB/1mt green,Pcs,3508,3465
GARVAN,WN120Y,WN120Y,Outdoor omnidirectional subwoofer in PE diam.260xh625mm | 1x200mm 4? 200Wrms 91dB/1mt grey,Pcs,3508,3465
GARVAN,WN120A,WN120A,Outdoor omnidirectional subwoofer in PE diam.260xh625mm | 1x200mm 4? 200Wrms 91dB/1mt charcoal grey,Pcs,3508,3465
