,Brand,"PART NO
",Model,Description,UOM,Country of,HTS Code,Packed Heigth,,Packed Length,,Packed Width,,"Gross
Weight
(kg)",MRP,MRP
,,,,,UOM,Origin,,inch,cm,inch,cm,inch,cm,,QAR,AED
,,,,,UOM,,,,,,,,,,,
1,7,3620870,NION® n6 (w/o network module),"Programmable Digital Audio Processor, Floating point DSP Engine with 6 DSP chips, Up to 128 channels total audio I/O, Optional Dante card",Pcs,USA,8543.70.9650,5,12.7,24,60.96,24,60.96,13.6,51395,51325
1,7,3620860,NION® n3 (w/o network module),"Programmable Digital Audio Processor, Floating point DSP Engine with 3 DSP chips, Up to 128 channels total audio I/O, Optional Dante card",Pcs,USA,8543.70.9650,5,12.7,24,60.96,24,60.96,13.6,41770,41713
1,7,3620850,NION® nX (w/o network module),"Programmable Digital Audio Processor, Floating point DSP Engine with 3 DSP chips, up to 32 channels analog or 64 channels digital plus optional 32 channels via CobraNet or Dante",Pcs,USA,8543.70.9650,5,12.7,24,60.96,24,60.96,13.6,26158,26122
1,7,3511710,NIO™ 4x4, Input/Output Module - 4 Mic/Line input 4 Line out,Pcs,USA,8517.62.0050,,0,,0,,0,,6816,6807
1,7,3311230,NIO™ 8i  ,  Input Module - 8 line input,Pcs,USA,8517.62.0050,,0,,0,,0,,4974,4967
1,7,3616520,NIO™ 8o II  ,Output Module - 8 Line out,Pcs,USA,8517.62.0050,2.8,7.11,11,27.94,6.5,16.51,0.5,3961,3955
1,7,3311220,NIO™ 8ml II, Input Module - 8 Mic / Line input,Pcs,USA,8517.62.0050,,0,,0,,0,,6217,6209
1,7,3006880,**NIO™ AEC  ,Acoustic Echo Cancellation Input Module - 8 Mic /line input,Pcs,USA,8517.62.0050,1,2.54,9.6,24.38,4.8,12.19,0.5,15750,15729
1,7,3458400,NIO™ AES ,AES  Input/Output Module,Pcs,USA,8517.62.0050,,0,,0,,0,,7184,7174
1,7,3619890,sDAB™ 8x8,"Networkable Digital Audio Bridge, Dante® and/or AES67 , Inputs: 8 x Mic/Line , Outputs: 8 x Line",Pcs,USA,8517.62.0050,3.6,9.14,23.5,59.69,11,27.94,3.4,12388,12371
1,7,3619900,sDAB™ 16i,"Networkable Digital Audio Bridge, Dante® and/or AES67 , Inputs: 16 x Mic/Line",Pcs,USA,8517.62.0050,3.6,9.14,23.5,59.69,11,27.94,3.4,13954,13935
1,7,3619910,sDAB™ 16o,"Networkable Digital Audio Bridge, Dante® and/or AES67 , outputs: 16 x Line",Pcs,USA,8517.62.0050,3.6,9.14,23.5,59.69,11,27.94,3.4,13171,13153
1,7,3619930,sDAB™ 16x16,"Networkable Digital Audio Bridge, Dante® and/or AES67 , Inputs: 16 x Mic/Line , Outputs: 16 x Line",Pcs,USA,8517.62.0050,3.6,9.14,23.5,59.69,11,27.94,3.4,0,0
