,,,RCF & TT Audio Price List Feb 2025,,
,Part No.230,Model,Description,MRP QAR,MRP AED
1,13360388,RP 1X HDL 30,"Rain cover for 1 module HDL 30-A, HDL 28-A, HDL 35-AS, HDL 36-AS, HDL 38-AS, KX 4-A",172,170
1,12100004,CR 16-ND,"Including RD-net control 8, DX1616, patch bay, 4X LK25 OUT, 1RU PS",66943,66126
1,12399021,CBL LKS 25-2 FANOUT,"25 pin to 8X XLR, cable 1.0 M, fanout 1.0 M",1991,1967
1,12399022,CBL LK 25 MULTIPIN 20M,25 pin male female 20 M,2529,2498
1,12399023,CBL LK 25 MULTIPIN 10M,25 pin male female 10 M,2153,2126
1,12399016,CBL ETHERCON 0.7M,To connect RDNET in HDL50-A array,194,191
1,12399017,CBL ETHERCON 1.5M,Ethercon link cable 1.5 m.,215,213
1,12399035,CBL ETHERCON 3M,CAT 5E etherCON cable 3 m.,237,234
1,12399018,CBL ETHERCON 5M,CAT 5E etherCON cable 5 m.,258,255
1,12399019,CBL ETHERCON TO XLR F 0.2M,To connect XLR to RDNET RJ45,194,191
1,12399020,CBL ETHERCON TO XLR M 0.2M,To connect XLR to RDNET RJ45,194,191
1,12100006,PR 63,Touring case including power distribution unit,34655,34233
1,12399024,CBL LKS 19 ARRAY FANOUT,Array FAN OUT cable 0.5 - 1.3 - 2.1 - 2.9 - 3.7 - 4.5 M,1937,1914
1,12399025,CBL LKS 19 SUB FANOUT,SUB FAN OUT cable 2X 2.5 - 2X 5.0 - 2X 10.0 M,2529,2498
1,12399026,CBL LKS 19 BREAKOUT,Breakout BOX with LKS 19 INOUT/OUTPUT TO 6x powercon,3605,3561
1,13360146,CBL LKS 19 POWER 20M,LKS 19 power cable 20 M,3713,3668
1,12399027,CBL LKS 19 POWER 10M,LKS 19 power cable 10 M,2422,2392
1,12399028,CBL POWERCON LINK 10M,Power distribution cable,452,447
1,12399029,CBL POWERCON LINK 5M,Powercon link cable 5 m to link HDL 50-A 4K.,312,308
1,12399030,CBL POWERCON LINK 1.5M,Powercon link cable 1.5 m to link HDL 50-A 4K.,226,223
1,12399031,CBL POWERCON LINK 0.7M,To link 2x HDL50-A,194,191
1,13360218,FL-B HDL 20-18,Fly bar for HDL20 and HDL18 up to 16 HDL20 modules,5489,5422
1,13360229,FL-B LGT HDL 20,Light fly bar for HDL20 up to 4 HDL20 modules,2852,2817
1,13360221,FL-B PK HDL 20-18,Spare Pickup Point (including 2 Qick lock pins) for 2 motors pick up,721,712
1,13360223,KRT-WH 4X HDL 20,Kart with wheels for 4 HDL20,2852,2817
1,13360283,RP 2X HDL 20,Rain cover for 2 module HDL20/10,237,234
1,13360274,FL-B HDL 10,Fly bar for HDL10 up to 16 modules,5166,5103
1,13360276,FL-B LGT HDL 10,Light fly bar for HDL10 up to 4 modules,2691,2658
1,13360275,KRT-WH 4X HDL 10,Kart with wheels for 4 HDL10,2637,2605
1,13360314,FL-B HDL 10 W,Fly bar for HDL10 up to 16 modules - white colour,5166,5103
1,13360313,FL-B LGT HDL 10 W,Light fly bar for HDL10 up to 4 modules - white colour,2691,2658
1,13360360,FL-B HDL 6,Fly bar for HDL6 and HDL12 including accessories for staking and pole mount,3713,3668
1,13360373,FL-B HDL 6 W,Fly bar for HDL6 and HDL12 white colour,3713,3668
1,13360371,CL-BR HDL 6,Clamp bracket for HDL 6-A and HDL 26-A,495,489
1,13360372,FL-B PK HDL 6,"Spare Pickup Point for HDL6, HDL 26-A, HDL 35-AS, HL 35-S, HL 6, KX 4-A",592,585
1,13360366,KRT-WH 6X HDL 6,Kart for 6 x HDL6,2529,2498
1,13360381,RP 1X HDL 6,"Rain cover for 1 module HDL 6-A, HDL 26-A, KX 515-A, KX 10-A, KX 08-A",269,266
1,13360375,FL-B LINK HDL 6-12 2X,Link bar for HDL6 and HDL12,1012,999
1,13360377,PM-KIT 3X HDL 6,HDL6 pole mount accessory to hold up to 3 modules,1453,1435
1,13360232,AC PMX,Pole mount - up to 60Kg,1453,1435
1,13360238,WH PRO 4X,Kit 4 swivel castor 100mm wheels with roller bearing,549,542
1,13360688,CVR60688,Cover for KX 515-A,269,266
1,13360690,FLB60690,Accessory to link a KX 515 to a flying SUB 808,463,457
1,13360691,FLB60691,Suspension bar for KX 515,409,404
1,13360692,HBR60692,Horizontal bracket for KX 515,312,308
1,13360716,HBR60716,"Horizontal bracket for KX 515, white",312,308
1,13360693,VBR60693,Vertical bracket for KX 515,495,489
1,13360678,PMK60678,Pole mount accessory for KX 515 and NXL 14,129,128
1,13360679,PMK60679,"Pole mount accessory for KX 515 and NXL 14, white",129,128
1,13360694,CVR60694,Cover for KX 4-A,495,489
1,13360697,FLB60697,Vertical fly bar for KX 4-A,2529,2498
1,13360698,VBR60698,Vertical bracket for KX 4-A,969,957
1,13360713,CVR60713,Cover for KX 08-A,312,308
1,13360714,HBR60714,Horizontal bracket for KX 08-A,355,351
1,13360715,VBR60715,Vertical bracket for KX 08-A,463,457
1,13360710,CVR60710,Cover for KX 10-A,301,298
1,13360711,HBR60711,Horizontal bracket for KX 10-A,377,372
1,13360712,VBR60712,Vertical bracket for KX 10-A,484,478
1,13360704,VBR60704,Vertical bracket for KX 32-A,1345,1329
1,13360655,KRT-WH 007,SUB 9029 trasportation kart for 1 module,2744,2711
1,13360656,CVR 016,Cover for 1x SUB 9029,1238,1223
1,13360657,KRT-WH 008,SUB 9019 trasportation kart for 1 module,2099,2073
1,13360658,CVR 017,Cover for 1x SUB 9019,743,734
1,13360361,KRT-WH SUB 9006,Kart for 1 SUB 9006-AS,2691,2658
1,13360363,CVR SUB 9006,Cover for 1 SUB 9006-AS,1184,1169
1,13360362,RP 1X SUB 9006,Rain cover to protect SUB 9006-AS,990,978
1,13360242,CVR SUB 8006,Cover for SUB8006-AS,1130,1116
1,13360233,RP 1X SUB 8006,Rain cover protection for amplifier SUB8006-AS,151,149
